região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORTE;34;urbano;feminino;parda;quinta série fundamental;analfabeto ou sem instrução;quarta série fundamental completa;1000;1490;9;1;evangélica;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total
NORTE;53;urbano;masculino;branca;médio completo;oitava série fundamental incompleta;oitava série fundamental incompleta;4800;4900;3;1;católica;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total
NORTE;31;urbano;masculino;preta;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;5;1;evangélica;concorda parcial;neutro;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;ns;discorda total;ns;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
NORDESTE;38;urbano;feminino;parda;sétima série fundamental;cursou superior sem concluir;segunda série médio;1000;1000;4;2;católica;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;concorda total;neutro;concorda parcial
NORDESTE;21;urbano;feminino;parda;primeira série médio;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;2;2;evangélica;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;discorda total;discorda parcial
NORTE;24;urbano;feminino;parda;primeira série médio;não conheceu;quinta série fundamental;678;;5;2;evangélica;concorda parcial;neutro;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;65;urbano;feminino;parda;superior completo;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1200;7;2;católica;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda parcial
NORTE;47;urbano;feminino;parda;médio completo;quarta série fundamental completa;analfabeto ou sem instrução;700;700;4;2;católica;discorda total;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;ns;concorda total;discorda parcial;concorda parcial;concorda parcial
NORDESTE;40;urbano;masculino;parda;fundamental completa;segunda série fundamental;sétima série fundamental;678;3000;6;2;católica;concorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial
NORTE;29;urbano;masculino;parda;médio completo;quinta série fundamental;médio completo;678;800;3;1;católica;discorda total;neutro;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;discorda parcial
NORDESTE;49;urbano;feminino;amarela;médio completo;primeira série médio;analfabeto ou sem instrução;2000;2000;2;2;católica;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total
NORDESTE;27;urbano;feminino;branca;segunda série médio;não sabe;não sabe;300;3000;3;2;evangélica;discorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;concorda total
NORDESTE;18;urbano;masculino;branca;terceira série médio incompleto;superior completo;mestrado;;6000;4;2;católica;discorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total
NORDESTE;53;urbano;feminino;amarela;médio completo;primeira série médio;analfabeto ou sem instrução;2000;;5;2;espírita;concorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total
NORDESTE;39;urbano;masculino;branca;segunda série fundamental;analfabeto ou sem instrução;primeira série fundamental;678;1500;2;2;evangélica;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial
NORDESTE;66;urbano;masculino;parda;segunda série fundamental;terceira série fundamental;terceira série fundamental;678;1500;7;1;evangélica;discorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;neutro;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda parcial;concorda total;discorda parcial
NORDESTE;65;urbano;feminino;parda;médio completo;primeira série fundamental;sexta série fundamental;500;2000;3;1;católica;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial
NORDESTE;49;urbano;feminino;parda;segunda série médio;analfabeto ou sem instrução;analfabeto ou sem instrução;678;2000;5;2;católica;discorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total
NORDESTE;59;urbano;feminino;branca;médio completo;não sabe;quarta série fundamental completa;;;4;2;católica;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;neutro;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda total;concorda parcial
NORTE;19;urbano;feminino;parda;médio completo;oitava série fundamental incompleta;quinta série fundamental;350;350;3;1;sem;concorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total
NORDESTE;85;urbano;feminino;parda;terceira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;1400;3000;4;2;católica;concorda parcial;discorda parcial;ns;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;neutro;concorda total;concorda parcial;neutro;concorda total;discorda total;neutro;neutro;concorda total;concorda parcial;discorda total;neutro;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;neutro;concorda parcial
NORDESTE;32;urbano;feminino;parda;médio completo;segunda série fundamental;terceira série fundamental;1200;4000;6;2;católica;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;neutro;discorda total;concorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial
NORDESTE;70;urbano;feminino;parda;cursou superior sem concluir;analfabeto ou sem instrução;analfabeto ou sem instrução;2000;4000;;2;católica;neutro;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda parcial
NORDESTE;66;urbano;masculino;parda;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;2000;2000;3;2;evangélica;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda total;discorda parcial
NORDESTE;56;urbano;feminino;parda;quarta série fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;1340;1800;2;2;católica;concorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;discorda parcial
NORTE;34;urbano;feminino;parda;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;;;2;católica;concorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda total
NORTE;28;urbano;masculino;preta;segunda série médio;segunda série fundamental;analfabeto ou sem instrução;1200;1200;2;1;evangélica;concorda total;ns;concorda parcial;concorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial
NORDESTE;54;metropolitano;feminino;parda;médio completo;primeira série fundamental;primeira série fundamental;1420;6000;3;2;católica;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial
NORTE;22;urbano;feminino;parda;fundamental completa;não sabe;não sabe;678;678;6;1;católica;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;ns
NORTE;23;urbano;feminino;parda;médio completo;quarta série fundamental completa;fundamental completa;678;750;4;1;evangélica;concorda parcial;ns;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total
NORTE;62;urbano;masculino;parda;segunda série fundamental;analfabeto ou sem instrução;terceira série fundamental;678;678;2;2;católica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial
NORTE;28;urbano;feminino;parda;fundamental completa;terceira série fundamental;sexta série fundamental;678;950;3;1;católica;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total
NORDESTE;46;metropolitano;feminino;parda;superior completo;quarta série fundamental completa;sexta série fundamental;1800;19000;;2;NR;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;neutro;neutro
NORDESTE;52;metropolitano;masculino;parda;primeira série médio;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1000;3;2;católica;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;neutro;concorda total;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;concorda total;concorda parcial
NORDESTE;65;metropolitano;masculino;parda;oitava série fundamental incompleta;analfabeto ou sem instrução;primeira série fundamental;678;678;1;2;católica;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda total;neutro;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;discorda total;neutro;discorda total;concorda total;concorda total;discorda total;neutro;concorda total
NORDESTE;46;urbano;masculino;branca;médio completo;não sabe;não sabe;2000;2000;4;2;evangélica;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;discorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;55;urbano;feminino;parda;médio completo;não sabe;não sabe;678;678;2;2;evangélica;discorda total;ns;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;ns
NORDESTE;60;metropolitano;masculino;branca;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1500;3;2;católica;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda parcial;concorda total
NORDESTE;31;urbano;feminino;parda;sexta série fundamental;não sabe;não sabe;678;678;4;1;católica;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total
NORDESTE;26;urbano;feminino;parda;médio completo;médio completo;quinta série fundamental;678;;3;2;evangélica;discorda total;discorda total;discorda total;concorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;discorda total;concorda total;discorda total;concorda total;neutro;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total
NORDESTE;71;metropolitano;feminino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1800;4;2;evangélica;concorda parcial;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;neutro;discorda total;discorda parcial
NORDESTE;41;urbano;feminino;parda;médio completo;quarta série fundamental completa;fundamental completa;1000;1000;4;2;católica;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total
NORDESTE;70;urbano;feminino;parda;fundamental completa;não sabe;não sabe;;;2;2;católica;discorda total;ns;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;35;metropolitano;feminino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;800;800;5;1;católica;discorda total;neutro;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;ns;concorda total;concorda total;discorda parcial
NORDESTE;48;urbano;masculino;parda;analfabeto ou sem instrução;não conheceu;não conheceu;500;500;7;1;católica;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total
NORDESTE;38;metropolitano;masculino;parda;quarta série fundamental completa;não sabe;não sabe;600;600;4;1;afrobrasileiras;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total
NORDESTE;57;urbano;feminino;branca;médio completo;quarta série fundamental incompleta;médio completo;600;600;2;1;evangélica;discorda total;ns;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total
NORDESTE;43;metropolitano;feminino;branca;quinta série fundamental;não sabe;não sabe;1000;1500;3;2;católica;discorda total;ns;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;34;metropolitano;feminino;parda;médio completo;quarta série fundamental incompleta;quarta série fundamental incompleta;1000;1800;2;2;evangélica;discorda total;neutro;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
NORDESTE;58;metropolitano;feminino;preta;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;;;2;2;católica;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda parcial;concorda total;concorda total;discorda total;concorda total;discorda parcial
NORDESTE;70;urbano;feminino;parda;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1300;6;2;católica;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda total
NORDESTE;28;metropolitano;feminino;parda;segunda série médio;não sabe;não sabe;850;1400;2;2;católica;discorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda parcial;concorda total
NORDESTE;18;metropolitano;feminino;branca;terceira série médio incompleto;superior completo;segunda série médio;678;5000;3;2;católica;discorda total;discorda parcial;concorda total;discorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;concorda total;discorda parcial
NORDESTE;56;urbano;feminino;parda;fundamental completa;não sabe;segunda série fundamental;400;1000;5;1;evangélica;discorda total;ns;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
NORDESTE;69;metropolitano;feminino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1500;5;2;evangélica;discorda parcial;neutro;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;concorda total;discorda total;discorda parcial;concorda total
NORDESTE;37;urbano;feminino;parda;quarta série fundamental completa;não sabe;não sabe;700;1000;3;1;católica;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;31;urbano;feminino;parda;sexta série fundamental;segunda série fundamental;primeira série fundamental;;1500;4;2;evangélica;discorda total;ns;discorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;64;metropolitano;feminino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1400;3;2;católica;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda total;discorda total;discorda parcial;discorda total;concorda total;discorda total;concorda total
NORDESTE;25;metropolitano;feminino;preta;terceira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;400;580;3;1;católica;discorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;discorda total
NORDESTE;56;metropolitano;feminino;parda;quarta série fundamental incompleta;quarta série fundamental incompleta;médio completo;678;1800;6;2;católica;concorda parcial;ns;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total
NORDESTE;51;metropolitano;feminino;parda;médio completo;terceira série fundamental;quinta série fundamental;678;2000;4;2;católica;concorda total;neutro;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;neutro;discorda total;concorda total;concorda total
