região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;45;urbano;feminino;parda;fundamental completa;primeira série fundamental;primeira série fundamental;;700;3;2;evangélica;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda parcial;concorda parcial
SUDESTE;30;metropolitano;feminino;parda;primeira série médio;quarta série fundamental completa;quarta série fundamental completa;678;1000;3;2;católica;discorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;31;urbano;feminino;branca;quarta série fundamental completa;não sabe;não sabe;;1000;5;1;católica;discorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda parcial;discorda total;discorda total
SUDESTE;63;metropolitano;masculino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;1300;2200;6;2;católica;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total
NORDESTE;53;urbano;feminino;branca;primeira série fundamental;primeira série fundamental;analfabeto ou sem instrução;;1000;3;1;católica;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
SUDESTE;43;metropolitano;feminino;branca;médio completo;fundamental completa;fundamental completa;1200;2500;4;2;católica;discorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;38;urbano;feminino;branca;superior completo;quarta série fundamental incompleta;quarta série fundamental incompleta;1800;1800;5;2;evangélica;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda parcial;discorda parcial;concorda total;discorda total;discorda total;concorda total
NORDESTE;32;urbano;feminino;branca;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;;1;1;católica;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda parcial
SUDESTE;39;metropolitano;masculino;branca;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;1200;2800;5;2;católica;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;32;metropolitano;feminino;parda;médio completo;não sabe;não sabe;1000;1600;3;2;católica;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;18;urbano;masculino;parda;oitava série fundamental incompleta;fundamental completa;fundamental completa;;;2;1;evangélica;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total
SUDESTE;36;urbano;feminino;branca;médio completo;quarta série fundamental incompleta;oitava série fundamental incompleta;1800;1800;4;2;evangélica;discorda total;concorda total;concorda total;concorda total;concorda total;neutro;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;ns;discorda parcial;concorda total;concorda total;concorda total;neutro;neutro;neutro;concorda total;concorda total;discorda total;neutro;concorda total;concorda total
SUDESTE;31;metropolitano;feminino;parda;médio completo;quarta série fundamental completa;não sabe;1200;3000;4;2;católica;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;37;metropolitano;feminino;branca;médio completo;quarta série fundamental incompleta;fundamental completa;1500;3000;3;2;católica;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total
