regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
NORTE	34	urbano	feminino	parda	quinta s‚rie fundamental	analfabeto ou sem instru‡Æo	quarta s‚rie fundamental completa	1000	1490	9	1	evang‚lica	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	discorda parcial	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total
NORTE	53	urbano	masculino	branca	m‚dio completo	oitava s‚rie fundamental incompleta	oitava s‚rie fundamental incompleta	4800	4900	3	1	cat¢lica	concorda parcial	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total
NORTE	31	urbano	masculino	preta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	5	1	evang‚lica	concorda parcial	neutro	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	ns	discorda total	ns	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total
NORDESTE	38	urbano	feminino	parda	s‚tima s‚rie fundamental	cursou superior sem concluir	segunda s‚rie m‚dio	1000	1000	4	2	cat¢lica	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	concorda total	neutro	concorda parcial
NORDESTE	21	urbano	feminino	parda	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	2	2	evang‚lica	concorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	discorda total	discorda parcial
NORTE	24	urbano	feminino	parda	primeira s‚rie m‚dio	nÆo conheceu	quinta s‚rie fundamental	678		5	2	evang‚lica	concorda parcial	neutro	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	65	urbano	feminino	parda	superior completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1200	7	2	cat¢lica	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial
NORTE	47	urbano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	700	700	4	2	cat¢lica	discorda total	discorda parcial	discorda total	concorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	ns	concorda total	discorda parcial	concorda parcial	concorda parcial
NORDESTE	40	urbano	masculino	parda	fundamental completa	segunda s‚rie fundamental	s‚tima s‚rie fundamental	678	3000	6	2	cat¢lica	concorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial
NORTE	29	urbano	masculino	parda	m‚dio completo	quinta s‚rie fundamental	m‚dio completo	678	800	3	1	cat¢lica	discorda total	neutro	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total	concorda parcial	discorda parcial
NORDESTE	49	urbano	feminino	amarela	m‚dio completo	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	2000	2000	2	2	cat¢lica	concorda total	concorda total	discorda total	discorda total	discorda total	discorda parcial	discorda total	discorda total	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda total	concorda parcial	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total
NORDESTE	27	urbano	feminino	branca	segunda s‚rie m‚dio	nÆo sabe	nÆo sabe	300	3000	3	2	evang‚lica	discorda parcial	discorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda total	concorda total	discorda parcial	discorda parcial	discorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	concorda total
NORDESTE	18	urbano	masculino	branca	terceira s‚rie m‚dio incompleto	superior completo	mestrado		6000	4	2	cat¢lica	discorda parcial	concorda total	concorda parcial	concorda total	discorda parcial	discorda total	concorda total	concorda total	discorda parcial	concorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total
NORDESTE	53	urbano	feminino	amarela	m‚dio completo	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	2000		5	2	esp¡rita	concorda total	concorda total	discorda total	concorda total	discorda total	discorda parcial	discorda total	discorda total	discorda parcial	concorda parcial	concorda total	discorda parcial	discorda total	concorda parcial	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total
NORDESTE	39	urbano	masculino	branca	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	primeira s‚rie fundamental	678	1500	2	2	evang‚lica	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda parcial	concorda parcial
NORDESTE	66	urbano	masculino	parda	segunda s‚rie fundamental	terceira s‚rie fundamental	terceira s‚rie fundamental	678	1500	7	1	evang‚lica	discorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	neutro	discorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	concorda total	discorda parcial	concorda total	discorda parcial
NORDESTE	65	urbano	feminino	parda	m‚dio completo	primeira s‚rie fundamental	sexta s‚rie fundamental	500	2000	3	1	cat¢lica	discorda total	concorda parcial	concorda total	concorda parcial	concorda total	discorda parcial	concorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial
NORDESTE	49	urbano	feminino	parda	segunda s‚rie m‚dio	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	2000	5	2	cat¢lica	discorda parcial	discorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total
NORDESTE	59	urbano	feminino	branca	m‚dio completo	nÆo sabe	quarta s‚rie fundamental completa			4	2	cat¢lica	discorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda parcial	neutro	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	discorda total	concorda parcial
NORTE	19	urbano	feminino	parda	m‚dio completo	oitava s‚rie fundamental incompleta	quinta s‚rie fundamental	350	350	3	1	sem	concorda parcial	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	concorda parcial	discorda total	discorda total	concorda total
NORDESTE	85	urbano	feminino	parda	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1400	3000	4	2	cat¢lica	concorda parcial	discorda parcial	ns	concorda parcial	concorda parcial	discorda parcial	discorda total	concorda parcial	neutro	concorda total	concorda parcial	neutro	concorda total	discorda total	neutro	neutro	concorda total	concorda parcial	discorda total	neutro	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	neutro	concorda parcial
NORDESTE	32	urbano	feminino	parda	m‚dio completo	segunda s‚rie fundamental	terceira s‚rie fundamental	1200	4000	6	2	cat¢lica	discorda total	discorda total	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda parcial	neutro	discorda total	concorda total	discorda total	concorda parcial	discorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	concorda parcial
NORDESTE	70	urbano	feminino	parda	cursou superior sem concluir	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	2000	4000		2	cat¢lica	neutro	concorda parcial	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	discorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda parcial	discorda parcial	concorda parcial	discorda parcial	concorda parcial
NORDESTE	66	urbano	masculino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	2000	2000	3	2	evang‚lica	discorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda parcial	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	concorda total	discorda parcial
NORDESTE	56	urbano	feminino	parda	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1340	1800	2	2	cat¢lica	concorda parcial	discorda parcial	discorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	discorda parcial
NORTE	34	urbano	feminino	parda	fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678			2	cat¢lica	concorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda total
NORTE	28	urbano	masculino	preta	segunda s‚rie m‚dio	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	1200	1200	2	1	evang‚lica	concorda total	ns	concorda parcial	concorda total	concorda total	neutro	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda parcial	discorda parcial	concorda parcial
NORDESTE	54	metropolitano	feminino	parda	m‚dio completo	primeira s‚rie fundamental	primeira s‚rie fundamental	1420	6000	3	2	cat¢lica	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial
NORTE	22	urbano	feminino	parda	fundamental completa	nÆo sabe	nÆo sabe	678	678	6	1	cat¢lica	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	neutro	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	ns
NORTE	23	urbano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	fundamental completa	678	750	4	1	evang‚lica	concorda parcial	ns	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total
NORTE	62	urbano	masculino	parda	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	terceira s‚rie fundamental	678	678	2	2	cat¢lica	discorda total	neutro	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial
NORTE	28	urbano	feminino	parda	fundamental completa	terceira s‚rie fundamental	sexta s‚rie fundamental	678	950	3	1	cat¢lica	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total
NORDESTE	46	metropolitano	feminino	parda	superior completo	quarta s‚rie fundamental completa	sexta s‚rie fundamental	1800	19000		2	NR	concorda total	concorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda parcial	discorda total	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	neutro	neutro
NORDESTE	52	metropolitano	masculino	parda	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1000	3	2	cat¢lica	discorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	neutro	concorda total	concorda parcial	discorda parcial	concorda total	discorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	discorda total	discorda parcial	concorda total	concorda parcial
NORDESTE	65	metropolitano	masculino	parda	oitava s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	primeira s‚rie fundamental	678	678	1	2	cat¢lica	concorda total	concorda parcial	discorda total	concorda total	concorda parcial	discorda parcial	concorda total	neutro	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	discorda total	neutro	discorda total	concorda total	concorda total	discorda total	neutro	concorda total
NORDESTE	46	urbano	masculino	branca	m‚dio completo	nÆo sabe	nÆo sabe	2000	2000	4	2	evang‚lica	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total	discorda total	concorda total	discorda parcial	discorda total	discorda parcial	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda parcial	concorda parcial	discorda total	discorda total	discorda parcial	concorda total	discorda total	discorda total	concorda parcial
NORDESTE	55	urbano	feminino	parda	m‚dio completo	nÆo sabe	nÆo sabe	678	678	2	2	evang‚lica	discorda total	ns	concorda parcial	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	ns
NORDESTE	60	metropolitano	masculino	branca	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1500	3	2	cat¢lica	discorda total	concorda parcial	concorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	concorda parcial	concorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda parcial	concorda total
NORDESTE	31	urbano	feminino	parda	sexta s‚rie fundamental	nÆo sabe	nÆo sabe	678	678	4	1	cat¢lica	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total
NORDESTE	26	urbano	feminino	parda	m‚dio completo	m‚dio completo	quinta s‚rie fundamental	678		3	2	evang‚lica	discorda total	discorda total	discorda total	concorda total	ns	concorda total	concorda total	concorda total	concorda total	concorda total	neutro	concorda total	discorda total	concorda total	discorda total	concorda total	neutro	concorda total	concorda total	discorda total	discorda total	discorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total
NORDESTE	71	metropolitano	feminino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1800	4	2	evang‚lica	concorda parcial	concorda total	concorda total	concorda total	concorda total	neutro	concorda total	concorda total	concorda parcial	concorda total	discorda total	concorda total	concorda total	discorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda total	neutro	discorda total	discorda parcial
NORDESTE	41	urbano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	fundamental completa	1000	1000	4	2	cat¢lica	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total
NORDESTE	70	urbano	feminino	parda	fundamental completa	nÆo sabe	nÆo sabe			2	2	cat¢lica	discorda total	ns	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	35	metropolitano	feminino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	800	800	5	1	cat¢lica	discorda total	neutro	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	ns	concorda total	concorda total	discorda parcial
NORDESTE	48	urbano	masculino	parda	analfabeto ou sem instru‡Æo	nÆo conheceu	nÆo conheceu	500	500	7	1	cat¢lica	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total
NORDESTE	38	metropolitano	masculino	parda	quarta s‚rie fundamental completa	nÆo sabe	nÆo sabe	600	600	4	1	afrobrasileiras	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total
NORDESTE	57	urbano	feminino	branca	m‚dio completo	quarta s‚rie fundamental incompleta	m‚dio completo	600	600	2	1	evang‚lica	discorda total	ns	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total
NORDESTE	43	metropolitano	feminino	branca	quinta s‚rie fundamental	nÆo sabe	nÆo sabe	1000	1500	3	2	cat¢lica	discorda total	ns	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	34	metropolitano	feminino	parda	m‚dio completo	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	1000	1800	2	2	evang‚lica	discorda total	neutro	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda total
NORDESTE	58	metropolitano	feminino	preta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo			2	2	cat¢lica	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	discorda total	concorda total	discorda parcial	concorda total	concorda total	discorda total	concorda total	discorda parcial
NORDESTE	70	urbano	feminino	parda	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1300	6	2	cat¢lica	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda parcial	discorda total	discorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	discorda parcial	discorda total	discorda total	discorda parcial	concorda total
NORDESTE	28	metropolitano	feminino	parda	segunda s‚rie m‚dio	nÆo sabe	nÆo sabe	850	1400	2	2	cat¢lica	discorda parcial	concorda total	concorda parcial	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda parcial	concorda total
NORDESTE	18	metropolitano	feminino	branca	terceira s‚rie m‚dio incompleto	superior completo	segunda s‚rie m‚dio	678	5000	3	2	cat¢lica	discorda total	discorda parcial	concorda total	discorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	discorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	concorda total	discorda parcial
NORDESTE	56	urbano	feminino	parda	fundamental completa	nÆo sabe	segunda s‚rie fundamental	400	1000	5	1	evang‚lica	discorda total	ns	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda total
NORDESTE	69	metropolitano	feminino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1500	5	2	evang‚lica	discorda parcial	neutro	discorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total	discorda total	discorda parcial	concorda total
NORDESTE	37	urbano	feminino	parda	quarta s‚rie fundamental completa	nÆo sabe	nÆo sabe	700	1000	3	1	cat¢lica	concorda total	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total
NORDESTE	31	urbano	feminino	parda	sexta s‚rie fundamental	segunda s‚rie fundamental	primeira s‚rie fundamental		1500	4	2	evang‚lica	discorda total	ns	discorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda parcial	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
