RAZAO_SOCIAL;ENDERECO;BAIRRO;BANDEIRA;PRECO_VENDA;PRECO_COMPRA;MODALIDADE_DE_COMPRA;FORNECEDOR;DATA_COLETA;CIDADE;UF;COMBUSTIVEL
Auto Posto Lacasema Ltda;Avenida Almte Jair Carneiro Toscano de Brito, 417;Parque das Palmeiras;RAIZEN;4,198;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Imperial Angra Auto Posto Ltda;Rua das Palmeiras, 210;Parque das Palmeiras;RAIZEN;4,22;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Praia da Ribeira Ltda;Rodovia Br 101, S/n Km 487,8 - Lado Esquerdo;Belem Tq. da Japuiba;PETROBRAS DISTRIBUIDORA S.A.;4,278;3.58;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Auto Posto Japuíba Ltda.;Rodovia Governador Mário Covas, S/n Km 96 + 400;Japuiba;IPIRANGA;4,279;3.58;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto dos Pescadores Ltda.;Alameda Industria, 309;Centro;PETROBRAS DISTRIBUIDORA S.A.;4,329;3.468;FOB;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Golfinho Comercio Derivados de Petroleo Ltda;Rua Doutor Coutinho, 8 Loja A;Cais de Santa Luzia;RAIZEN;4,4;3.598;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Imperial Bracuí Tda.;Rodovia Mário Covas, S/n Km 113;Bracuí;RAIZEN;4,49;3.409;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Marina Piratas Mall Ltda;Estrada das Marinas, 91;Praia do Jardim;IPIRANGA;4,899;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
,gecylandia Auto Serviço Ltda;Rodovia Amaral Peixoto, S/n Km 94;Iguabinha;BRANCA;3,59;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Atlântico de Praia Seca Ltda;Rua D Rod. Cabo Frio Km 13 Lote 272 Q. 20, S/n;Praia Seca;BRANCA;3,849;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto de Combustível Capri Lagos Ltda.;Rodovia Amaral Peixoto, 90130;Vila Capri;BRANCA;3,889;3.258;FOB;TOBRAS;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Tres Amigos Ltda;Rodovia Rio Bonito Araruama, S/n Km    35;Itatiquara;BRANCA;3,889;3.307;CIF;TOBRAS;14/09/2016;ARARUAMA;RJ;Gasolina
Garcia Tinoco Comércio de Combustíveis Ltda.;Rodovia Amaral Peixoto, S/n Loteamento Novo Horizonte, Lotes 01 A 07;Parati;BRANCA;3,892;3.251;CIF;RAIZEN;14/09/2016;ARARUAMA;RJ;Gasolina
Mataruna Auto Posto Ltda.;Praca Ary Parreiras, S/n;Centro;IPIRANGA;3,958;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Auto Posto 151 Ltda;Avenida John Kennedy, 220;Centro;IPIRANGA;3,989;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Centro Automotivo Praia dos Coqueiros;Rodovia Amaral Peixoto, 90031 Km 88;Praia dos Coqueiros;PETROBRAS DISTRIBUIDORA S.A.;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Bellas & Barcelos Ltda.;Rodovia Amaral Peixoto, S/n Km 86;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Silva & Abrantes Ltda;Rua Oscarino P. de Andrade, 10;Sao Vicente de Paula;BRANCA;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Auto Posto Pontocom Ltda;Avenida Getúlio Vargas, 1320;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,999;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Zambeli Ltda;Rua Jose Alves Pimenta, 1616;Matadouro;BRANCA;3,879;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Belvedere da Taquara Ltda.;Rodovia Lucio Meira Br 393, S/n Km 255,7;Belvedere;BRANCA;3,899;3.225;CIF;76 OIL;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Gasolina Estação 3 Estrelas Ltda.;Rodovia Lúcio Meira Br 393, S/nº Km 269;Dorandia;BRANCA;4,099;3.545;CIF;ALE COMBUSTÍVEIS;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Belvedere da Barra Ltda;Rodovia Lucio Meira - Br 393, S/n Km 255,6;Belvedere da Taquara;PETROBRAS DISTRIBUIDORA S.A.;4,14;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Matagal Auto Posto Ltda;Estrada Rj 137, 11006 0;Ipiabas;IPIRANGA;4,14;3.701;CIF;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Combustiveis Gomes Figueiredo Ltda - Epp.;Rua Franklin de Moraes, S/n Area A Box 1e2 80a Area B 80 B;Centro;PETROBRAS DISTRIBUIDORA S.A.;4,14;3.491;CIF;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Nova Barra Ltda.;Avenida Prefeito Arthur Costa, 550;Muqueca;PETROBRAS DISTRIBUIDORA S.A.;4,149;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Combustiveis Jalisco Ltda;Rua Angelica, 127;Centro;RAIZEN;4,15;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Postos Colorado Ltda;Rua Luiz Barbosa, 411;Matadouro;RAIZEN;4,169;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto São Francisco de Assis Ltda.;Avenida Presidente Kennedy, 2457;Ano Bom;BRANCA;3,749;3.22;CIF;76 OIL;15/09/2016;BARRA MANSA;RJ;Gasolina
Auto Posto Barra do Vale Ltda.;Avenida Presidente Kennedy, 3601;Ano Bom;BRANCA;3,849;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto de Abastecimento de Combustiveis Vila Nova Ltda;Rua Major Jose Bento, 2137;Vila Nova;BRANCA;3,899;3.399;CIF;ALE COMBUSTÍVEIS;14/09/2016;BARRA MANSA;RJ;Gasolina
Posto Boa Vista Bm Ltda;Avenida Tres de Outubro, 20 e 28;Centro;BRANCA;3,999;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Piga 2000 Ltda;Avenida Tres de Outubro, 411;Jardim Boa Vista;BRANCA;3,999;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Jofave Combustiveis;Via Sergio Braga, S/n;Barbará;PETROBRAS DISTRIBUIDORA S.A.;4,08;3.419;CIF;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Auto Posto Trevo do Amparo Ltda - Epp;Rua Ary Kerner Thomas da Costa, 102;Amparo;BRANCA;4,08;3.525;CIF;ALE COMBUSTÍVEIS;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Monte Cristo Ltda;Rodovia Presidente Dutra, 9 Km 271;Monte Cristo;RAIZEN;4,08;3.47;CIF;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Bocaininha Ltda;Avenida Ministro Amaral Peixoto, 800;Bocaininha;IPIRANGA;4,099;3.515;CIF;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Posto Santa Clara de Barra Mansa Abast. de Combust Ltda;Rodovia Saturnino Braga, 800;Santa Clara;BRANCA;4,11;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Organizaçao Tupy Ltda;Avenida Domingos Mariano, 510;Centro;CBPI;4,149;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Ojm Ltda;Rua Ary Fontenelle, 353 e Av D Aragao 187;Cento;PETROBRAS DISTRIBUIDORA S.A.;4,229;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Aliança Serve Bem Comércio de Combustível Ltda;Avenida Francisco Villela de Andrade Neto, 224;Centro;BRANCA;4,249;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Carrefour Comercio e Industria Ltda;Avenida Jorge Júlio Costa dos Santos, 200;Centro;RAIZEN;3,659;NaN;-;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto São Jorge de Belfor Roxo Ltda;Avenida Benjamin Pinto Dias, 1131;Centro;BRANCA;3,799;3.267;FOB;DIRECIONAL;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Providencia Ltda;Avenida Joaquim da Costa Lima, 2999;Santa Amélia;ALESAT;3,799;3.265;FOB;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina Dinnei Ltda;Avenida Heliópolis, 447;Heliópolis;BRANCA;3,799;3.22;FOB;76 OIL;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina São Sebastião de Belford Roxo Ltda;Avenida José Mariano dos Passos, 1089 0;Centro;RAIZEN;3,899;3.455;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto de Serviços Belroxo 1 Ltda.;Avenida José Mariano dos Passos, 1725;Centro;BRANCA;3,899;3.271;FOB;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto Santorini Ltda.;Rodovia Presidente Dutra, 10726;Rocha Sobrinho;RAIZEN;3,899;3.346;FOB;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina Josi Ltda;Estrada Retiro da Imprensa, 1820;Heliópolis;IPIRANGA;3,949;3.612;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto Babilônia I Ltda.;Avenida Benjamin Pinto Dias, 1536;Centro;ALE COMBUSTÍVEIS;3,949;3.318;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina do Capitão de Belford Roxo Ltda;Avenida Jorge Júlio Costa dos Santos, 350;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,989;3.274;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Arla Ltda;Avenida Automovel Clube, 2530;Wona / Lote Xv;BRANCA;3,999;NaN;-;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Aquarius de Cabo Frio Ltda;Rodovia Amaral Peixoto, S/n Km 135;Aquarius;BRANCA;3,999;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Posto Itajuru de Cabo Frio Ltda;Avenida Julia Kubstchek, 3;Centro;RAIZEN;4,02;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Posto do Cabo Ltda;Avenida America Central, 2270;Praia do Siqueira;PETROBRAS DISTRIBUIDORA S.A.;4,048;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Petrolagos Comercial de Combustivel Ltda;Avenida America Central, 2431;Praia do Siqueira;PETROBRAS DISTRIBUIDORA S.A.;4,08;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Mineiro de Cabo Frio Comércio de Combustíveis Ltda.;Avenida Teixeira e Souza, 659;Vila Nova;RAIZEN;4,089;3.437;FOB;-;14/09/2016;CABO FRIO;RJ;Gasolina
Canal da Lagoa Empreendimentos Ltda;Estrada dos Passageiros, 100;Jacare;PETROBRAS DISTRIBUIDORA S.A.;4,098;3.381;FOB;-;14/09/2016;CABO FRIO;RJ;Gasolina
Portal das Dunas Combustiveis Ltda;Avenida Teixeira e Souza, 2677;Braga;PETROBRAS DISTRIBUIDORA S.A.;4,098;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Posto de Combustiveis Salinas Ltda;Avenida Joaquim Nogueira, 1600;São Cristóvão;IPIRANGA;4,099;3.58;FOB;-;14/09/2016;CABO FRIO;RJ;Gasolina
Posto de Combustíveis Rodovia do Sol Ltda.;Estrada Lourival Martins Beda, 1165/1167;Varanda do Visconde;BRANCA;3,49;3.285;CIF;76 OIL;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto de Gasolina Jardim das Acácias Ltda.;Avenida Tarcísio Miranda, 259;Parque Bela Vista;BRANCA;3,779;3.34;CIF;RAIZEN;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
J J Manhaes;Avenida Francisco Gomes de Freitas, S/n 0;Mineiros - 2º Distrito de Campos;BRANCA;3,78;3.418;CIF;DPPI;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
G.s. Nogueira Combustíveis Ltda;Rua Joaquim Lorena, 6;Ururaí;BRANCA;3,79;3.366;FOB;RAIZEN;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto Web Max de Combustiveis Ltda;Avenida Felipe Uebe, 139 147 Terreo;Parque Califórnia;BRANCA;3,79;3.369;FOB;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Palladium Comércio Varejista de Combustivies Ltda - Me;Estrada Campos Santo Amaro, S/n Km 12 Rodovia Rj- 216;Centro;BRANCA;3,799;3.35;CIF;RAIZEN;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto de Combustíveis Gomes e Nogueira Ltda.;Rodovia Campos Farol de São Tomé, S/n Frente;Saturnino Braga;BRANCA;3,81;3.352;CIF;RAIZEN;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Alcino Melo Combustíveis;Rua José Pereira das Chagas, 3;Tocos - 17 Distrito;BRANCA;3,85;3.384;CIF;RAIZEN;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto de Gasolina Turf Club Ltda;Rua Riachuelo, 652/658;Turf Clube;IPIRANGA;3,879;3.46;CIF;-;13/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
W. Teles Moreira Combustíveis - Me;Estrada Poço Gordo, 67/69;Poço Gordo;BRANCA;3,89;3.22;FOB;76 OIL;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Auto Posto Rei do Petroleo Ltda;Rodovia Br. 101 Km 70,3, S/n Br 101 Km 70,3;Br 101;BRANCA;3,89;3.353;FOB;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto de Comb. Goitacaz de Campos Ltda;Rua dos Goitacazes, 607;Centro;BRANCA;3,899;3.511;FOB;DPPI;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
E. H. Almeida Comércio de Combustíveis Ltda.;Rua Caldas Viana, 679;Parque Flamboyant;BRANCA;3,899;3.495;FOB;DPPI;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Comércio de Combustíveis Universo de Campos Ltda.;Avenida Alberto Lamego, 700;Parque Horto;BRANCA;3,899;3.275;FOB;DIRECIONAL;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto Flamboyant de Campos Ltda;Rua Caldas Viana, 194/200;Parque Califórnia;BRANCA;3,909;3.511;CIF;DPPI;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Top Set Auto Posto Ltda;Avenida Oswaldo Cardoso de Melo, 295 0;Centro;IPIRANGA;3,949;3.46;CIF;-;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto de Servicos Sao Salvador Ltda;Rodovia Souto Maior, 182 0;Goytacazes;IPIRANGA;3,99;3.46;CIF;-;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Posto Santo Andre Ltda;Rodovia Raul Souto Maior, 114;Goytacazes;PETROBRAS DISTRIBUIDORA S.A.;3,999;3.457;CIF;-;12/09/2016;CAMPOS DOS GOYTACAZES;RJ;Gasolina
Auto Posto São Jorge da Br 040 Ltda;Rodovia Washington Luiz, 13010 Parte;Chacara Rio Petropolis;BRANCA;3,679;3.275;FOB;DIRECIONAL;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Kalebe Equitativa Ltda;Avenida   Automovel Clube, 801 Lts. 17 e 18 - Qd. 14;Vila Santa Cruz;BRANCA;3,699;3.225;FOB;76 OIL;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Brilhante do Pilar Ltda.;Avenida Presidente Kennedy, 13236;Cidade dos Meninos;BRANCA;3,749;3.308;FOB;TOBRAS;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Parada Certa Dois Ltda.;Rodovia Washington Luiz, 14040 Km 110,2;Chacaras Rio-petropolis;BRANCA;3,799;3.58;FOB;TOBRAS;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Jb Caxias Ltda.;Rodovia Washington Luis, 14689 Lt 1 A 6-a;Chácara Rio Petrópolis;RAIZEN;3,799;3.39;CIF;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
3auto Posto Vitoria de Imbarie Ltda;Rua Vitoria, 1340;Imbariê;BRANCA;3,859;3.28;FOB;TOBRAS;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Estrela da Serra Ltda;Estrada Normal da Estrela, S/n;Parada Angélica;BRANCA;3,888;3.27;FOB;TOBRAS;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto e Lanchonete Xodo do Papai Ltda;Rodovia Washington Luis, S/n Km 111;Jardim Primavera;RAIZEN;3,889;3.454;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Santa Cruz Ltda;Rodovia Washington Luiz, S/n Km 19;Santa Cruz da Serra;RAIZEN;3,899;3.35;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
,auto Posto do Trabalho S/a.;Rodovia Washinton Luiz, 12420;Vila Actura;PETROBRAS DISTRIBUIDORA S.A.;3,899;3.41;CIF;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Chapéu do Sol Posto de Gasolina e Lubrificação Ltda.;Avenida Pastor Manoel Avelino de Souza, 7;Xerém;PETROBRAS DISTRIBUIDORA S.A.;3,899;3.406;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
,auto Posto do Trabalho S/a.;Rodovia Washington Luiz, 14131;Chacara Rio Petropolis;BRANCA;3,899;3.41;CIF;PETROBRAS DISTRIBUIDORA S.A.;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Nova Saracuruna Ltda;Avenida Presidente Roosevelt, 842 Lts. 18 Ao 20;Saracurna;BRANCA;3,899;3.295;FOB;RAIZEN;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto Carreteiro Ltda;Rodovia Washington Luiz Km 22, S/n;Imbariê;BRANCA;3,899;3.295;FOB;RAIZEN;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Abastecimento Torcedor Ltda.;Rodovia Washington Luiz, S/n Quadra 33 Lote 1;Nossa Senhora do Pilar;RAIZEN;3,899;3.393;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Avenida Coronel Sisson Ltda;Avenida Vitória, 2075;Parada Angélica;PETROBRAS DISTRIBUIDORA S.A.;3,919;3.275;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto Thayluam Ltda;Avenida Automóvel Club, S/n Km 57;Parada Angélica;RAIZEN;3,929;3.463;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Lua Nova do Saara Posto de Gasolina Ltda;Rodovia Washington Luiz, 16117;Parque Jorge Abdala Chama;PETROBRAS DISTRIBUIDORA S.A.;3,979;3.54;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Parada Certa Um Ltda.;Avenida Pastor  Manuel Avelino de Souza, 1125;Vila Santa Alice;BRANCA;3,999;3.419;CIF;DPPI;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Duda Vieira Ltda. - Me;Avenida Governador Leonel de Moura Brizola, S/n Qda 01 Lotes 01 e 02;Parque Muisa;ALESAT;3,999;3.504;CIF;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Auto Posto Bagas Ltda;Avenida Fabor, 3200 Parte;Campos Elíseos;PETROBRAS DISTRIBUIDORA S.A.;3,999;3.406;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Abastecimento A Gas 2000 de Caxias Ltda;Avenida Presidente Kennedy, 7405;Jardim Gramacho;PETROBRAS DISTRIBUIDORA S.A.;3,999;3.39;FOB;-;14/09/2016;DUQUE DE CAXIAS;RJ;Gasolina
Posto de Gasolina Ternura de Itaboraí Ltda.;Rua César Xará, 250;Venda das Pedras;BRANCA;3,599;3.31;CIF;ALE COMBUSTÍVEIS;13/09/2016;ITABORAI;RJ;Gasolina
Posto Campeão de Itambi Ltda.;Estrada do Contorno Guanabara Km 42, S/n;Itambi;PETROBRAS DISTRIBUIDORA S.A.;3,699;NaN;-;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto Nota 1000 de Itaboraí Com. de Comb. e Lub. Ltda.;Rodovia Amaral Peixoto Br 101, S/n Km 25 Qd. 04 Lts. 89 e 90;Tres Pontes;PETROBRAS DISTRIBUIDORA S.A.;3,799;3.365;CIF;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto Juanoto Ltda;Rodovia Br 101, S/n Km 297;Manilha;RAIZEN;3,799;NaN;-;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto de Gasolina Amigao de Itaborai Ltda;Rodovia Br 101, S/n Sub-trecho Manilha Duques Estacas 438 A 454;Duques;RAIZEN;3,799;NaN;-;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto 2001 Ltda.;Avenida 22 de Maio, 5849;Centro;RAIZEN;3,799;3.433;CIF;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto, Restaurante e Lanchonete Fr Branco Ltda;Rodovia Br 101, S/n Km 284;Laranjal;PETROBRAS DISTRIBUIDORA S.A.;3,799;NaN;-;-;13/09/2016;ITABORAI;RJ;Gasolina
Posto de Gasolina Jomar Ltda.;Rodovia Amaral Peixoto, S/n Km 23,5;Manilha;BRANCA;3,899;NaN;-;-;13/09/2016;ITABORAI;RJ;Gasolina
Via Gás Posto de Serviços Ltda;Avenida Vinte e Dois de Maio, S/n Lt 01 Qd 88;Retiro São Joaquim;IPIRANGA;3,999;3.396;CIF;-;13/09/2016;ITABORAI;RJ;Gasolina
Ita Gas do Brasil Ltda;Rodovia Br 099, S/n Lote 01, Quadra 41;Vila Margarida;BRANCA;3,748;3.259;CIF;TOBRAS;12/09/2016;ITAGUAI;RJ;Gasolina
Comercio de Derivados de Petroleo Vanilda Ltda;Avenida Piranema, 116 Parte;Centro;BRANCA;3,749;3.287;CIF;RODOPETRO;12/09/2016;ITAGUAI;RJ;Gasolina
Auto Posto Capixaba Ltda;Rodovia Br 101, S/n Km 18,5;Brisamar;PETROBRAS DISTRIBUIDORA S.A.;3,799;3.323;CIF;-;12/09/2016;ITAGUAI;RJ;Gasolina
,auto Posto do Trabalho S/a.;Estrada  Rj 99, 1008;Vila Margarida;RAIZEN;3,799;3.354;CIF;-;12/09/2016;ITAGUAI;RJ;Gasolina
Posto de Gasolina Portal do Porto Ltda.;Lotes de Terreno 56 A 74 - Quadra 46, S/n;Brisa Mar;BRANCA;3,899;3.269;CIF;REJAILE;12/09/2016;ITAGUAI;RJ;Gasolina
Brasil 2000 Combustiveis Ltda;Avenida Deputado, 919;Centro;IPIRANGA;3,949;3.479;FOB;-;12/09/2016;ITAGUAI;RJ;Gasolina
Dimocostas e Abreu Comercio Derivados Petroleo Ltda;Rodovia Rio-santos, S/n Km 19,5;Jardim Riviera;BRANCA;3,999;3.389;FOB;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;ITAGUAI;RJ;Gasolina
Auto Posto Ladeira Dias Ltda;Rua Vinhosa, 411;Vinhosa;BRANCA;3,899;NaN;-;-;12/09/2016;ITAPERUNA;RJ;Gasolina
Disco Combustiveis Itaperuna Ltda;Rodovia Br 356, S/n Km 01;Primeiro Distrito;PETROBRAS DISTRIBUIDORA S.A.;3,899;3.308;FOB;-;12/09/2016;ITAPERUNA;RJ;Gasolina
Auto Posto Marco Timbozao Ltda;Rodovia Br 356, S/n Km 3;Primeiro Distrito;BRANCA;3,899;3.312;FOB;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;ITAPERUNA;RJ;Gasolina
Posto Nova Itaperuna Ltda;Avenida Presidente Dutra, 758;Presidente Costa e Silva;PETROBRAS DISTRIBUIDORA S.A.;3,948;NaN;-;-;12/09/2016;ITAPERUNA;RJ;Gasolina
Ita Posto de Gasolina Ltda;Avenida Zulamith Bittencourt, 400;Cidade Nova;BRANCA;3,949;3.438;FOB;RAIZEN;12/09/2016;ITAPERUNA;RJ;Gasolina
Posto de Combustível Belo Trevo Ltda.;Rodovia Rj 202, S/n Km 0;Boa Ventura;PETROBRAS DISTRIBUIDORA S.A.;3,99;NaN;-;-;12/09/2016;ITAPERUNA;RJ;Gasolina
Auto Posto Timbozão 2000 Ltda;Avenida Presidente Dutra, 1226;Cidade Nova;IPIRANGA;3,999;NaN;-;-;12/09/2016;ITAPERUNA;RJ;Gasolina
A. Peixoto Posto de Abastecimento Ltda;Rodovia Amaral Peixoto, S/n Lotes 399, 400 e 401;Jardim Guanabara;BRANCA;3,879;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Sao Joao de Macae Ltda;Rua Jose de Aguiar Franco, 270;Costa do Sol;IPIRANGA;3,95;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Top 7 Ltda;Avenida Rui Barbosa, 975;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,959;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Titan de Macae Ltda;Estrada L, S/n Sítio da Serra;Novo Cavaleiros;PETROBRAS DISTRIBUIDORA S.A.;3,979;3.489;CIF;-;13/09/2016;MACAE;RJ;Gasolina
Posto Moreira Cabral Ltda.;Rodovia Amaral Peixoto, 179;Barra de Macae;PETROBRAS DISTRIBUIDORA S.A.;3,98;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Moreira Cabral Ltda.;Avenida Fabio Franco, 420;Visconde de Araújo;ALE COMBUSTÍVEIS;3,98;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
J.g. Nocchi;Vila Glicerio, S/n;Glicerio - 7º Distrito;BRANCA;3,99;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Imboassica Comercio e Serviços Ltda;Rodovia Amaral Peixoto, S/n Km 164,7;Imboassica;RAIZEN;4,079;3.475;CIF;-;13/09/2016;MACAE;RJ;Gasolina
Posto Cancela Serviços e Comercio Ltda;Estrada da Cancela Preta, 60;Bairro da Gloria;RAIZEN;4,079;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Jose Baptista Ltda;Praca Wahington Luiz, 59;Centro;PETROBRAS DISTRIBUIDORA S.A.;4,14;NaN;-;-;13/09/2016;MACAE;RJ;Gasolina
Posto Principal Ltda;Avenida Roberto Silveira, 1;Piabetá;IPIRANGA;3,82;NaN;-;-;14/09/2016;MAGE;RJ;Gasolina
Vivas & Newmann Ltda;Rua Pio Xii, 486 Antigo 23;Figueira;BRANCA;3,899;NaN;-;-;14/09/2016;MAGE;RJ;Gasolina
Posto de Gasolina Renaza de Mage Ltda;Rodovia Rio-teresopolis, 16.886;Santa Dalila;BRANCA;3,899;3.295;CIF;RAIZEN;14/09/2016;MAGE;RJ;Gasolina
